transaction_id,customer_id,amount,fraud_risk_score,risk_bucket,triggered_rules,reasons,run_ts
TXN004698,CUST0066,236.06,40,Medium,amount_anomaly;odd_hour,"amount 236.06 is 3.5 std devs above CUST0066's rolling average of 60.43 (n=7 prior txns) | transaction at 03:00 local (odd-hour window: 1-4am) -- weak signal, contributing factor only",2026-09-17 07:13:11.327262 UTC
TXN003133,CUST0015,279.44,40,Medium,amount_anomaly;odd_hour,"transaction at 04:00 local (odd-hour window: 1-4am) -- weak signal, contributing factor only | amount 279.44 is 3.1 std devs above CUST0015's rolling average of 84.58 (n=9 prior txns)",2026-09-17 07:13:11.327262 UTC
TXN003165,CUST0332,398.68,40,Medium,amount_anomaly;odd_hour,"amount 398.68 is 4.4 std devs above CUST0332's rolling average of 69.24 (n=6 prior txns) | transaction at 01:00 local (odd-hour window: 1-4am) -- weak signal, contributing factor only",2026-09-17 07:13:11.327262 UTC
TXN003012,CUST0015,171.08,40,Medium,amount_anomaly;odd_hour,"transaction at 04:00 local (odd-hour window: 1-4am) -- weak signal, contributing factor only | amount 171.08 is 3.4 std devs above CUST0015's rolling average of 38.57 (n=5 prior txns)",2026-09-17 07:13:11.327262 UTC
TXN003910,CUST0301,162.72,40,Medium,amount_anomaly;odd_hour,"amount 162.72 is 3.1 std devs above CUST0301's rolling average of 40.9 (n=10 prior txns) | transaction at 04:00 local (odd-hour window: 1-4am) -- weak signal, contributing factor only",2026-09-17 07:13:11.327262 UTC
TXN001754,CUST0348,246.76,40,Medium,amount_anomaly;odd_hour,"amount 246.76 is 3.7 std devs above CUST0348's rolling average of 53.1 (n=6 prior txns) | transaction at 01:00 local (odd-hour window: 1-4am) -- weak signal, contributing factor only",2026-09-17 07:13:11.327262 UTC
TXN001360,CUST0288,150.01,40,Medium,amount_anomaly;odd_hour,"transaction at 03:00 local (odd-hour window: 1-4am) -- weak signal, contributing factor only | amount 150.01 is 3.3 std devs above CUST0288's rolling average of 52.32 (n=7 prior txns)",2026-09-17 07:13:11.327262 UTC
TXN003553,CUST0284,244.49,40,Medium,amount_anomaly;odd_hour,"amount 244.49 is 9.3 std devs above CUST0284's rolling average of 33.11 (n=6 prior txns) | transaction at 04:00 local (odd-hour window: 1-4am) -- weak signal, contributing factor only",2026-09-17 07:13:11.327262 UTC
TXN003055,CUST0028,260.79,40,Medium,amount_anomaly;odd_hour,"amount 260.79 is 8.7 std devs above CUST0028's rolling average of 34.77 (n=9 prior txns) | transaction at 02:00 local (odd-hour window: 1-4am) -- weak signal, contributing factor only",2026-09-17 07:13:11.327262 UTC
TXN002904,CUST0274,357.67,40,Medium,amount_anomaly;odd_hour,"transaction at 03:00 local (odd-hour window: 1-4am) -- weak signal, contributing factor only | amount 357.67 is 3.9 std devs above CUST0274's rolling average of 78.75 (n=11 prior txns)",2026-09-17 07:13:11.327262 UTC
TXN001209,CUST0269,386.82,40,Medium,amount_anomaly;odd_hour,"transaction at 03:00 local (odd-hour window: 1-4am) -- weak signal, contributing factor only | amount 386.82 is 3 std devs above CUST0269's rolling average of 94.93 (n=10 prior txns)",2026-09-17 07:13:11.327262 UTC
TXN003242,CUST0261,395.42,40,Medium,amount_anomaly;odd_hour,"transaction at 02:00 local (odd-hour window: 1-4am) -- weak signal, contributing factor only | amount 395.42 is 3.4 std devs above CUST0261's rolling average of 83.73 (n=15 prior txns)",2026-09-17 07:13:11.327262 UTC
TXN004508,CUST0257,311.77,40,Medium,amount_anomaly;odd_hour,"amount 311.77 is 10.7 std devs above CUST0257's rolling average of 33.52 (n=4 prior txns) | transaction at 02:00 local (odd-hour window: 1-4am) -- weak signal, contributing factor only",2026-09-17 07:13:11.327262 UTC
TXN002561,CUST0355,127.34,40,Medium,amount_anomaly;odd_hour,"transaction at 03:00 local (odd-hour window: 1-4am) -- weak signal, contributing factor only | amount 127.34 is 3.7 std devs above CUST0355's rolling average of 35.71 (n=5 prior txns)",2026-09-17 07:13:11.327262 UTC
TXN001973,CUST0245,184.08,40,Medium,amount_anomaly;odd_hour,"amount 184.08 is 3.9 std devs above CUST0245's rolling average of 40.36 (n=10 prior txns) | transaction at 02:00 local (odd-hour window: 1-4am) -- weak signal, contributing factor only",2026-09-17 07:13:11.327262 UTC
TXN002894,CUST0080,250.46,40,Medium,amount_anomaly;odd_hour,"amount 250.46 is 4.3 std devs above CUST0080's rolling average of 51.52 (n=4 prior txns) | transaction at 04:00 local (odd-hour window: 1-4am) -- weak signal, contributing factor only",2026-09-17 07:13:11.327262 UTC
TXN000610,CUST0363,325.65,40,Medium,amount_anomaly;odd_hour,"transaction at 04:00 local (odd-hour window: 1-4am) -- weak signal, contributing factor only | amount 325.65 is 3 std devs above CUST0363's rolling average of 108.3 (n=10 prior txns)",2026-09-17 07:13:11.327262 UTC
TXN003891,CUST0071,207.94,40,Medium,amount_anomaly;odd_hour,"transaction at 03:00 local (odd-hour window: 1-4am) -- weak signal, contributing factor only | amount 207.94 is 3.2 std devs above CUST0071's rolling average of 68.29 (n=12 prior txns)",2026-09-17 07:13:11.327262 UTC
TXN001577,CUST0207,307.7,40,Medium,amount_anomaly;odd_hour,"amount 307.7 is 3.6 std devs above CUST0207's rolling average of 69.98 (n=10 prior txns) | transaction at 03:00 local (odd-hour window: 1-4am) -- weak signal, contributing factor only",2026-09-17 07:13:11.327262 UTC
TXN003184,CUST0334,277.42,40,Medium,amount_anomaly;odd_hour,"transaction at 01:00 local (odd-hour window: 1-4am) -- weak signal, contributing factor only | amount 277.42 is 62.6 std devs above CUST0334's rolling average of 12.76 (n=4 prior txns)",2026-09-17 07:13:11.327262 UTC
TXN004728,CUST0016,130.16,40,Medium,amount_anomaly;odd_hour,"amount 130.16 is 3.5 std devs above CUST0016's rolling average of 35.03 (n=5 prior txns) | transaction at 02:00 local (odd-hour window: 1-4am) -- weak signal, contributing factor only",2026-09-17 07:13:11.327262 UTC
TXN003656,CUST0182,85.87,40,Medium,amount_anomaly;odd_hour,"amount 85.87 is 5.7 std devs above CUST0182's rolling average of 29.03 (n=6 prior txns) | transaction at 01:00 local (odd-hour window: 1-4am) -- weak signal, contributing factor only",2026-09-17 07:13:11.327262 UTC
TXN003572,CUST0055,235.79,40,Medium,amount_anomaly;odd_hour,"amount 235.79 is 11.2 std devs above CUST0055's rolling average of 31.83 (n=4 prior txns) | transaction at 04:00 local (odd-hour window: 1-4am) -- weak signal, contributing factor only",2026-09-17 07:13:11.327262 UTC
TXN003270,CUST0173,236.35,40,Medium,amount_anomaly;odd_hour,"transaction at 01:00 local (odd-hour window: 1-4am) -- weak signal, contributing factor only | amount 236.35 is 5.8 std devs above CUST0173's rolling average of 36.77 (n=6 prior txns)",2026-09-17 07:13:11.327262 UTC
TXN001436,CUST0166,394.49,40,Medium,amount_anomaly;odd_hour,"transaction at 04:00 local (odd-hour window: 1-4am) -- weak signal, contributing factor only | amount 394.49 is 4 std devs above CUST0166's rolling average of 87.15 (n=12 prior txns)",2026-09-17 07:13:11.327262 UTC
TXN000265,CUST0158,386.95,40,Medium,amount_anomaly;odd_hour,"transaction at 01:00 local (odd-hour window: 1-4am) -- weak signal, contributing factor only | amount 386.95 is 3.2 std devs above CUST0158's rolling average of 88.32 (n=16 prior txns)",2026-09-17 07:13:11.327262 UTC
TXN003654,CUST0005,167.97,40,Medium,amount_anomaly;odd_hour,"amount 167.97 is 3.7 std devs above CUST0005's rolling average of 59.08 (n=5 prior txns) | transaction at 01:00 local (odd-hour window: 1-4am) -- weak signal, contributing factor only",2026-09-17 07:13:11.327262 UTC
TXN000404,CUST0143,339.64,40,Medium,amount_anomaly;odd_hour,"transaction at 03:00 local (odd-hour window: 1-4am) -- weak signal, contributing factor only | amount 339.64 is 5.7 std devs above CUST0143's rolling average of 76.14 (n=5 prior txns)",2026-09-17 07:13:11.327262 UTC
TXN003304,CUST0123,215.54,40,Medium,amount_anomaly;odd_hour,"amount 215.54 is 3.2 std devs above CUST0123's rolling average of 66.87 (n=6 prior txns) | transaction at 04:00 local (odd-hour window: 1-4am) -- weak signal, contributing factor only",2026-09-17 07:13:11.327262 UTC
TXN001199,CUST0140,220.47,40,Medium,amount_anomaly;odd_hour,"amount 220.47 is 5.4 std devs above CUST0140's rolling average of 34.5 (n=8 prior txns) | transaction at 03:00 local (odd-hour window: 1-4am) -- weak signal, contributing factor only",2026-09-17 07:13:11.327262 UTC
